"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"성북시각장애인복지관","C5163","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","강태봉","1129000000","성북구","서울특별시 성북구 동소문로25가길 20성북시각장애인복지관","","320","02-923-4555","02829"
"실로암주간보호센터","C5164","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","노형지","1162000000","관악구","서울특별시 관악구 조원로 127-2301호","10","10","02-875-2235","08705"
"에덴장애인종합복지관","C5165","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","박정휴","1153000000","구로구","서울특별시 구로구 고척로21가길 84-35　","220","211","02-2611-1711","08250"
"정립회관","C5236","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","최종길","1121500000","광진구","서울특별시 광진구 워커힐로 93정립회관","200","1050","02-446-1237","04958"
"한국시각장애인복지관","C5240","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","백남식","1174000000","강동구","서울특별시 강동구 구천면로 645 (상일동)","0","0","02-440-5200","05275"
"성분도복지관","C5457","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김명옥","1174000000","강동구","경기도 광주시 국사봉로 159-10  ","110","1000","031-799-0300","464883"
"양천해누리복지관 ","C5545","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김경환","1147000000","양천구","서울특별시 양천구 목동동로 159목동동로 159 ","43","43","02-2061-2500","08013"
"실로암시각장애인복지관","C6052","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김미경","1162000000","관악구","서울특별시 관악구 남부순환로 1717 (봉천동)","","1800","02-880-0500","08757"
"서부장애인종합복지관","C6314","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","변소현","1138000000","은평구","서울특별시 은평구 갈현로11길 30　","0","600","02-351-3982","03428"
"서대문장애인종합복지관","C6476","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","정유진","1141000000","서대문구","서울특별시 서대문구 북아현로 24","","1666","0231403000","03756"
"장애인주간보호센터청락원","C6667","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김선희","1154500000","금천구","서울특별시 금천구 금하로29길 36.","15","15","02-806-1374","08656"
"하늘동산","C6684","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","강숙희","1165000000","서초구","서울특별시 서초구 강남대로65길 195층 (서초동)","12","10","02-592-7731","06613"
"하상장애인복지관","C6685","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","허명환","1168000000","강남구","서울특별시 강남구 개포로 613　","","780","024516000","06335"
"희망의학교","C6714","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","한병훈","1121500000","광진구","서울특별시 광진구 천호대로 622시민의교회5층(능동)","18","18","02-458-5599","04987"
"기쁜우리체육센터","C7183","(장애인) 장애인체육시설","장애인지역사회재활시설","자치구","임형균","1150000000","강서구","서울특별시 강서구 허준로 65","","300","02-3663-8114","07524"
"에스알씨(SRC)재활체육관","C7188","(장애인) 장애인체육시설","장애인지역사회재활시설","자치구","국은주","1162000000","관악구","경기도 광주시 초월읍 경수길 25에스알씨재활체육관 ","","1000","0317993891","12728"
"서부재활체육센터","C7190","(장애인) 장애인체육시설","장애인지역사회재활시설","자치구","황요섭","1138000000","은평구","서울특별시 은평구 갈현로11길 30 (구산동)","1300","1300","02-388-6622","03428"
"꿈자람터장애인주간보호센터","C7651","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이철우","1150000000","강서구","서울특별시 강서구 공항대로43길 104등촌7종합사회복지관 (등촌동, 등촌주공7,8단지아파트)","10","12","02-2658-6594","07576"
"서울시립노원시각장애인복지관","C7664","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","백혜련","1135000000","노원구","서울특별시 노원구 덕릉로70가길 98서울특별시립노원시각장애인복지관","0","14332","02-950-0114","01772"
"늘푸른마을","C7669","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이동용","1150000000","강서구","서울특별시 강서구 까치산로22길 38","12","13","02-2697-3880","07662"
"서리풀주간이용센터","C7715","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","위수경","1165000000","서초구","서울특별시 서초구 남부순환로340길 15.","10","10","02-2055-0909","137070"
"동작구수어통역센터","C7718","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","조준호","1159000000","동작구","서울특별시 동작구 만양로3길 143층 (노량진동)","30","644","02-815-7750","06926"
"종로구수어통역센터","C7728","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","김용주","1111000000","종로구","서울특별시 종로구 종로17길 83층 (종로2가)","39","598","02-730-5563","03140"
"양천구수어통역센터","C7729","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","유재성","1147000000","양천구","서울특별시 양천구 목동중앙북로 682층 (목동, 목동에버하임)(목동, 목동에버하임)","5","6704","02-2691-9060","07948"
"성락주간보호","C7743","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이은옥","1156000000","영등포구","서울특별시 영등포구 도림로 3042층","15","16","02-849-8292","07382"
"민들레쉼터장애인주간보호시설","C7798","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","서승우","1153000000","구로구","서울특별시 구로구 가마산로 2315동 101호 (구로동, 보광아파트)","10","7","02-861-1472","08284"
"하나렘넌트장애인주간보호센터","C7844","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김진연","1144000000","마포구","서울특별시 마포구 월드컵로13길 19-13","12","12","02-323-1004","121820"
"서울시농아노인지원센터","C7885","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이미연","1117000000","용산구","서울특별시 용산구 한강대로21길 17-72층","15","15","02-2632-3372","04379"
"디딤돌주간보호센터","C7904","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","전은이","1159000000","동작구","서울특별시 동작구 대방동7길 571층 101호 (대방동, 한빛빌라)","13","13","02-825-0331","06954"
"마포구수어통역센터","C7978","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","이두세","1144000000","마포구","서울특별시 마포구 월드컵로 213마포장애인복지회관 3층 (성산동)","19","3926","02-707-1063","03953"
"메타아카데미주간보호센터","C7979","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박정수","1174000000","강동구","서울특별시 강동구 양재대로121길 25202호","10","10","02-471-4032","05316"
"하나인장애인주간보호센터","C7988","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","나상운","1121500000","광진구","서울특별시 광진구 능동로59길 14 (중곡동)","10","10","070-7727-2858","04903"
"로뎀나무","C8010","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김일석","1150000000","강서구","서울특별시 강서구 까치산로18나길 36오성빌라 1층","10","11","02-2605-9286","07674"
"아름드리주간보호센터","C8023","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","양우석","1123000000","동대문구","서울특별시 동대문구 한천로58길 1071층 (이문동)","10","10","02-957-0058","02422"
"바우뫼주간보호센터","C8055","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이경희","1165000000","서초구","서울특별시 서초구 바우뫼로 43 1층 ","10","10","02-577-7851","137900"
"맑은샘장애인주간보호시설 ","C8056","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김원수","1147000000","양천구","서울특별시 양천구 신월로 192201호 (신월동)","12","12","02-2692-2448","08064"
"렘넌트주간보호센터","C8127","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이금자","1171000000","송파구","서울특별시 송파구 동남로 303-83층 (오금동)","10","11","02-951-9904","05729"
"우리마포장애인주간이용센터","C8129","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박소현","1144000000","마포구","서울특별시 마포구 신촌로26길 103층","12","12","02-359-1000","04103"
"광진구수어통역센터","C8196","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","석철민","1121500000","광진구","서울특별시 광진구 아차산로 4173층 (구의동)(구의동)","23","46","02-454-3888","05044"
"강동구수어통역센터","C8199","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","경기현","1174000000","강동구","서울특별시 강동구 성내로 526층 (성내동)","0","6038","02-488-3754","05399"
"갑을장애인주간보호센터","C8222","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박돈곤","1162000000","관악구","서울특별시 관악구 난우16길 13-72층 (신림동)","15","11","0264148586","08850"
"종로장애인복지관","C8237","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김은영","1111000000","종로구","서울특별시 종로구 자하문로 89","0","1345","02-6395-7070","03032"
"꿈터장애인주간보호센터","C8256","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","육순일","1162000000","관악구","서울특별시 관악구 쑥고개로13길24 (봉천동)","15","12","02-3285-1968","08785"
"성산푸른초장주간보호시설","C8305","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","홍금화","1150000000","강서구","서울특별시 강서구 양천로30길 143층","15","16","02-2665-7273","07593"
"강서뇌성마비 주간보호","C8368","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박세영","1150000000","강서구","서울특별시 강서구 방화대로45길 692층","12","12","02-2662-3491","157849"
"우리마포재활치료센터","C8392","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","박소현","1144000000","마포구","서울특별시 마포구 신촌로26길10 (노고산동)","50","","023591000","04103"
"서울특별시중구장애인복지관","C8398","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","정진옥","1114000000","중구","서울특별시 중구 퇴계로 460중구종합복지센터 4층","0","190","02-2235-1328","04579"
"참사랑너나울주간보호센터","C8402","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","정선숙","1130500000","강북구","서울특별시 강북구 한천로143길 391층 (수유동) ","15","12","02-908-0688","01072"
"하상점자도서관","C8423","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","허명환","1168000000","강남구","서울특별시 강남구 개포로 613","30","30","024516000","06335"
"광림주간보호센터","C8430","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","배재숙","1168000000","강남구","서울특별시 강남구 압구정로22길 21웨슬리관 2층","12","10","0220565676","06031"
"남산골주간보호센터","C8447","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","조점희","1114000000","중구","서울특별시 중구 퇴계로20길 41-11남산쉼터 2층 (남산동2가)","15","13","02-3789-3270","04629"
"영광시각장애인모바일점자도서관","C8462","(장애인) 점자도서관","장애인지역사회재활시설","자치구","","1141000000","서대문구","서울특별시 서대문구 세검정로 78-19올해피복지센터 2층 (홍제동)","","30","023934568","03618"
"강북장애인종합복지관주간보호시설","C8480","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","조석영","1130500000","강북구","서울특별시 강북구 오현로 189강북장애인종합복지관(2층)","10","12","02-989-4215","01143"
"그린도봉주간보호센터","C8551","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박정희","1132000000","도봉구","서울특별시 도봉구 도봉로 575608(쌍문동,삼환프라자) ","12","11","029565300","01432"
"해피죤아동발달지원센터","C8563","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","송금열","1174000000","강동구","서울특별시 강동구 상암로195, 501호 (명일동, 에이플러스빌딩)","0","48","024263869","05295"
"서울곰두리체육센터","C8632","(장애인) 장애인체육시설","장애인지역사회재활시설","자치구","유석영","1171000000","송파구","서울특별시 송파구 동남로 271","3000","3000","02-449-0986","05725"
"서울시각장애인생활이동지원센터","C8664","(장애인) 장애인생활이동지원센터","장애인지역사회재활시설","자치구","윤상원","1159000000","동작구","서울특별시 동작구 상도로 216-0상도동, 인경빌딩3,4,6층","3448","1019","02-2092-0001","06964"
"하늘아래주간보호시설","C8710","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이인형","1153000000","구로구","서울특별시 구로구 경인로23길8 (오류동, 대서프라자 301-1호 오류동)","10","10","070-4240-1046","08268"
"교남발달지원센터","C8720","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","황규인","1150000000","강서구","서울특별시 강서구 까치산로22길 38, 3층 (화곡동)","","36","0226973880","07662"
"서울영동주간보호센터","C8758","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이정호","1168000000","강남구","서울특별시 강남구 논현로132길20 (논현동, 서울영동교회 교육관2층)","12","12","02-6925-3830","06052"
"꿈터2장애인주간보호센터","C8769","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","육순일","1162000000","관악구","서울특별시 관악구 쑥고개로13길22 (봉천동)","13","10","02-877-1968","08785"
"예수와주간보호센터","C8774","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","오병석","1168000000","강남구","서울특별시 강남구 압구정로22길21, 1층 (신사동, 웨슬리관 )","12","11","025497766","06031"
"희망하우스","C8814","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","남유선","1121500000","광진구","서울특별시 광진구 능동로34길 102-52층 (능동)","10","10","02-452-5599","04987"
"참사랑 너나울 주간보호센터 2호","C8837","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","정선숙","1130500000","강북구","서울특별시 강북구 한천로143길 39, 2층 (수유동)","15","12","02-904-0688","01072"
"(주)의학신문사부설 아이맘인지발달연구소","C8848","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","심효정","1121500000","광진구","서울특별시 광진구 동일로 357 (중곡동)","","80","02-3408-5874","04900"
"푸르메스포츠센터","C8929","(장애인) 장애인체육시설","장애인지역사회재활시설","자치구","조영수","1144000000","마포구","서울특별시 마포구 월드컵북로 494푸르메스포츠센터 (상암동)","","5203","02-6070-9272","03918"
"휴샘아동가족발달센터","C8935","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","이정숙","1150000000","강서구","서울특별시 강서구 마곡중앙5로 81, 908호 (마곡동)","100","35","0226611366","157650"
"구립동대문장애인종합복지관","C8937","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","정은아","1123000000","동대문구","서울특별시 동대문구 청계천로 5210 (용두동)0 (용두동)","","","029270063","02589"
"sim 발달지원센터","C8945","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","심경애","1121500000","광진구","서울특별시 광진구 천호대로136길 50 (구의동, 서진드림빌)","","50","02-453-1275","04975"
"하사랑주간보호","C9053","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김광진","1171000000","송파구","서울특별시 송파구 올림픽로35길 1241동 501호 (장미A상가,신천동)","10","10","02-421-2016","05504"
"행복한사랑","C9092","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","권명열","1171000000","송파구","서울특별시 송파구 오금로 548, 1층 (거여동)","10","10","024005090","138600"
"관악구장애인종합복지관","C9126","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","황성혜","1162000000","관악구","서울특별시 관악구 남부순환로 1914 (봉천동)","","260","02-877-0750","08792"
"동그라미 움직임 발달센터","C9152","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","이상용","1121500000","광진구","서울특별시 광진구 자양로 135, 201호 (자양동)","0","17","024550942","143607"
"다니엘치료센터","C9159","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","김훈","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16다니엘학교 지하1층 ","","60","070-7752-9594","06796"
"도봉장애인종합복지관","C9180","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","이상록","1132000000","도봉구","서울특별시 도봉구 마들로664-23 (도봉동, 도봉장애인종합복지관)","","","0269521777","01331"
"하계장애인주간활동센터","C9214","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","오명진","1135000000","노원구","서울특별시 노원구 노원로16길 15 (하계동, 중계9단지주공영구임대아파트)","16","10","02-6928-7350","01748"
"구립중림장애인주간보호센터","C9252","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","엄하나","1114000000","중구","서울특별시 중구 서소문로6길 16 (중림동)","12","12","02-363-8765","04506"
"행복주간보호센터","C9269","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","최신혜","1171000000","송파구","서울특별시 송파구 마천로 89, 4층 (오금동)","10","10","024308003","05655"
"동안우리주간보호센터","C9279","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","신우석","1174000000","강동구","서울특별시 강동구 풍성로 146, 4층 (성내동)","10","10","0234014163","134600"
"라파아동발달센터","C9309","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","김경아","1174000000","강동구","서울특별시 강동구 길동  302호","0","36","070-4103-5850","134814"
"아이사랑아동청소년발달센터","C9311","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","신상협","1174000000","강동구","서울특별시 강동구 아리수로93길 33, 베스트프라자동 302호 (강일동)","0","10","024815394","05211"
"홀트강동복지관","C9322","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","신미숙","1174000000","강동구","서울특별시 강동구 아리수로93길 41 (강일동)","150","150","0222516100","05211"
"성민드림주간보호센터","C9331","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","최성주","1165000000","서초구","서울특별시 서초구 효령로26길 9-9 (방배동)","12","10","02-3487-4879","06695"
"영광시각장애인주간보호센터","C9359","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김금실","1141000000","서대문구","서울특별시 서대문구 세무서10길 54 (홍제동)","15","14","023950900","03627"
"홀트주간보호센터","C9392","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","신미숙","1174000000","강동구","서울특별시 강동구 아리수로93길 41 (강일동)","10","10","0222516100","05211"
"왕성밀알주간보호센터","C9445","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이수정","1162000000","관악구","서울특별시 관악구 신림로58길 8 (신림동)","10","10","070-4878-9142","08778"
"이음주간교육센터","C9462","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이인숙","1130500000","강북구","서울특별시 강북구 한천로129길11, 1층 (번동)","12","8","029551991","01066"
"킨더윌언어심리전문센터","C9503","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","이유진","1135000000","노원구","서울특별시 노원구 상계로23다길 13-8, 1층 107-1,7,8호 (상계동, 노원아이파크)","150","","029393421","01684"
"꿈친장애인주간보호센터","C9511","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김형주","1156000000","영등포구","서울특별시 영등포구 은행로 55, 1층 (여의도동)","10","","0261817536","07239"
"강남세움복지관","C9513","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김귀자","1168000000","강남구","서울특별시 강남구 광평로60길 22 (수서동)","1000","","0221848700","06369"
"선한이웃 재활운동발달센터","C9546","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","정명철","1135000000","노원구","서울특별시 노원구 공릉로58길 112, 3층 1호 (하계동, 순흥아트빌)","80","","029790233","01809"
"은평구립우리장애인복지관","C9652","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","이상하","1138000000","은평구","서울특별시 은평구 녹번로1길 13 (녹번동)(녹번동)","300","","0269510301","03380"
"금천발달장애인주간보호센터","C9657","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김춘호","1154500000","금천구","서울특별시 금천구 시흥대로73길 30, 4층 (시흥동, 금천어울림복지센터)","15","","0269563422","08610"
"40플러스 금곡행복쉼터 주간보호센터","C9711","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","임광수","1150000000","강서구","서울특별시 강서구 방화대로45길 69, 6층 (방화동)","10","","029324292","07517"
"염리장애인주간보호센터","C9746","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","최상진","1144000000","마포구","서울특별시 마포구 대흥로24길50 (염리동, 2층)","12","","025521017","04123"
"선한이웃재활운동발달센터","F04401","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","정명철","1135000000","노원구","서울특별시 노원구 공릉로58길 112301호 (하계동, 순흥빌라트)","0","80","02-979-0233","01809"
"킨더윌언어심리전문센터","F04402","(장애인) 장애인재활치료시설","장애인지역사회재활시설","자치구","이유진","1135000000","노원구","서울특별시 노원구 상계로23다길 13-8107호 (상계동, 노원 아이파크)","","0","02-939-3421","01684"
"시설테스트1호","F04562","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","홍길동","1100000000","서울특별시","서울특별시 성동구 무학로 50 (하왕십리동, 벽산아파트)","","","010-1234-1234","04703"
"염리종합사회복지관 내 주간보호센터","F04656","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","미정","1144000000","마포구","서울특별시 마포구 숭문길 14마포구 염리동 14-11일대(염리3구역 사회복지시설용지)(염리동)","","","02-3153-8883","04138"
"공덕동행복주택 내 장애인주간보호센터","F04759","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","","1144000000","마포구","서울특별시 마포구 백범로31길 21행복주택 (공덕동)(공덕동)","","","02-3153-8883","04147"
